timestamp_ns,ptp4l_connected,is_synchronized,port_state,offset_from_master_ns,mean_path_delay_ns,drift_ns,max_drift_ppb,total_uncertainty_ns,steps_removed,snapshot_age_ms,gm_present,gm_id,phc_index
1783960540224710843,1,1,9,7,2405,103256,100000,105668,1,231,1,d83add.fffe.9fc7f3,-1
1783960540274813813,1,1,9,7,2405,108267,100000,110679,1,281,1,d83add.fffe.9fc7f3,-1
1783960540324879060,1,1,9,7,2405,113273,100000,115685,1,331,1,d83add.fffe.9fc7f3,-1
1783960540374941270,1,1,9,7,2405,118279,100000,120691,1,381,1,d83add.fffe.9fc7f3,-1
1783960540425002629,1,1,9,85,2399,3109,100000,5593,1,31,1,d83add.fffe.9fc7f3,-1
1783960540475064691,1,1,9,85,2399,8116,100000,10600,1,81,1,d83add.fffe.9fc7f3,-1
1783960540525126068,1,1,9,85,2399,13122,100000,15606,1,131,1,d83add.fffe.9fc7f3,-1
1783960540575188796,1,1,9,85,2399,18128,100000,20612,1,181,1,d83add.fffe.9fc7f3,-1
1783960540625250636,1,1,9,85,2399,23134,100000,25618,1,231,1,d83add.fffe.9fc7f3,-1
1783960540675312254,1,1,9,85,2399,28140,100000,30624,1,281,1,d83add.fffe.9fc7f3,-1
1783960540725373890,1,1,9,85,2399,33147,100000,35631,1,331,1,d83add.fffe.9fc7f3,-1
1783960540775435193,1,1,9,85,2399,38153,100000,40637,1,381,1,d83add.fffe.9fc7f3,-1
1783960540825496773,1,1,9,85,2399,43159,100000,45643,1,31,1,d83add.fffe.9fc7f3,-1
1783960540875557372,1,1,9,85,2399,48165,100000,50649,1,81,1,d83add.fffe.9fc7f3,-1
1783960540925618675,1,1,9,85,2399,53171,100000,55655,1,131,1,d83add.fffe.9fc7f3,-1
1783960540975678996,1,1,9,85,2399,58177,100000,60661,1,181,1,d83add.fffe.9fc7f3,-1
1783960541025745706,1,1,9,85,2399,63184,100000,65668,1,231,1,d83add.fffe.9fc7f3,-1
1783960541075814340,1,1,9,85,2399,68191,100000,70675,1,281,1,d83add.fffe.9fc7f3,-1
1783960541125876808,1,1,9,85,2399,73197,100000,75681,1,331,1,d83add.fffe.9fc7f3,-1
1783960541175937257,1,1,9,85,2399,78203,100000,80687,1,381,1,d83add.fffe.9fc7f3,-1
1783960541225998927,1,1,9,85,2399,3091,100000,5575,1,30,1,d83add.fffe.9fc7f3,-1
1783960541276059599,1,1,9,85,2399,8097,100000,10581,1,80,1,d83add.fffe.9fc7f3,-1
1783960541326120936,1,1,9,85,2399,13104,100000,15588,1,131,1,d83add.fffe.9fc7f3,-1
1783960541376182200,1,1,9,85,2399,18110,100000,20594,1,181,1,d83add.fffe.9fc7f3,-1
1783960541426243723,1,1,9,85,2399,23116,100000,25600,1,231,1,d83add.fffe.9fc7f3,-1
1783960541476304968,1,1,9,85,2399,28122,100000,30606,1,281,1,d83add.fffe.9fc7f3,-1
1783960541526367176,1,1,9,85,2399,33128,100000,35612,1,331,1,d83add.fffe.9fc7f3,-1
1783960541576428532,1,1,9,85,2399,38134,100000,40618,1,381,1,d83add.fffe.9fc7f3,-1
1783960541626490388,1,1,9,106,2407,43141,100000,45654,1,30,1,d83add.fffe.9fc7f3,-1
1783960541676551615,1,1,9,106,2407,48147,100000,50660,1,80,1,d83add.fffe.9fc7f3,-1
1783960541726613434,1,1,9,106,2407,53153,100000,55666,1,130,1,d83add.fffe.9fc7f3,-1
1783960541776675179,1,1,9,106,2407,58159,100000,60672,1,181,1,d83add.fffe.9fc7f3,-1
1783960541826736591,1,1,9,106,2407,63165,100000,65678,1,231,1,d83add.fffe.9fc7f3,-1
1783960541876797910,1,1,9,106,2407,68171,100000,70684,1,281,1,d83add.fffe.9fc7f3,-1
1783960541926859340,1,1,9,106,2407,73177,100000,75690,1,331,1,d83add.fffe.9fc7f3,-1
1783960541976921104,1,1,9,106,2407,78184,100000,80697,1,381,1,d83add.fffe.9fc7f3,-1
1783960542026990774,1,1,9,106,2407,83191,100000,85704,1,30,1,d83add.fffe.9fc7f3,-1
1783960542077058832,1,1,9,106,2407,88197,100000,90710,1,80,1,d83add.fffe.9fc7f3,-1
1783960542127120834,1,1,9,106,2407,93204,100000,95717,1,130,1,d83add.fffe.9fc7f3,-1
1783960542177181262,1,1,9,106,2407,98210,100000,100723,1,180,1,d83add.fffe.9fc7f3,-1
1783960542227243079,1,1,9,106,2407,103216,100000,105729,1,231,1,d83add.fffe.9fc7f3,-1
1783960542277304767,1,1,9,106,2407,108222,100000,110735,1,281,1,d83add.fffe.9fc7f3,-1
1783960542327366528,1,1,9,106,2407,113228,100000,115741,1,331,1,d83add.fffe.9fc7f3,-1
1783960542377427790,1,1,9,106,2407,118234,100000,120747,1,381,1,d83add.fffe.9fc7f3,-1
1783960542427489144,1,1,9,1,2407,3068,100000,5476,1,30,1,d83add.fffe.9fc7f3,-1
1783960542477550331,1,1,9,1,2407,8074,100000,10482,1,80,1,d83add.fffe.9fc7f3,-1
1783960542527612130,1,1,9,1,2407,13080,100000,15488,1,130,1,d83add.fffe.9fc7f3,-1
1783960542577677002,1,1,9,1,2407,18087,100000,20495,1,180,1,d83add.fffe.9fc7f3,-1
1783960542627738004,1,1,9,1,2407,23093,100000,25501,1,230,1,d83add.fffe.9fc7f3,-1
1783960542677799247,1,1,9,1,2407,28099,100000,30507,1,280,1,d83add.fffe.9fc7f3,-1
1783960542727860546,1,1,9,1,2407,33105,100000,35513,1,331,1,d83add.fffe.9fc7f3,-1
1783960542777921567,1,1,9,1,2407,38111,100000,40519,1,381,1,d83add.fffe.9fc7f3,-1
1783960542827982791,1,1,9,1,2406,43117,100000,45524,1,30,1,d83add.fffe.9fc7f3,-1
1783960542878045200,1,1,9,1,2406,48124,100000,50531,1,80,1,d83add.fffe.9fc7f3,-1
1783960542928111684,1,1,9,1,2406,53130,100000,55537,1,130,1,d83add.fffe.9fc7f3,-1
1783960542978174131,1,1,9,1,2406,58137,100000,60544,1,180,1,d83add.fffe.9fc7f3,-1
1783960543028240781,1,1,9,1,2406,63143,100000,65550,1,230,1,d83add.fffe.9fc7f3,-1
1783960543078309077,1,1,9,1,2406,68150,100000,70557,1,280,1,d83add.fffe.9fc7f3,-1
1783960543128371855,1,1,9,1,2406,73156,100000,75563,1,330,1,d83add.fffe.9fc7f3,-1
1783960543178433392,1,1,9,1,2406,78162,100000,80569,1,381,1,d83add.fffe.9fc7f3,-1
1783960543228495207,1,1,9,1,2406,3052,100000,5459,1,30,1,d83add.fffe.9fc7f3,-1
1783960543278555911,1,1,9,1,2406,8058,100000,10465,1,80,1,d83add.fffe.9fc7f3,-1
1783960543328616559,1,1,9,1,2406,13064,100000,15471,1,130,1,d83add.fffe.9fc7f3,-1
1783960543378677782,1,1,9,1,2406,18070,100000,20477,1,180,1,d83add.fffe.9fc7f3,-1
1783960543428739152,1,1,9,1,2406,23076,100000,25483,1,230,1,d83add.fffe.9fc7f3,-1
1783960543478800393,1,1,9,1,2406,28083,100000,30490,1,280,1,d83add.fffe.9fc7f3,-1
1783960543528862152,1,1,9,1,2406,33089,100000,35496,1,330,1,d83add.fffe.9fc7f3,-1
1783960543578922912,1,1,9,1,2406,38095,100000,40502,1,380,1,d83add.fffe.9fc7f3,-1
1783960543628984486,1,1,9,4,2406,43101,100000,45511,1,30,1,d83add.fffe.9fc7f3,-1
1783960543679044801,1,1,9,4,2406,48107,100000,50517,1,80,1,d83add.fffe.9fc7f3,-1
1783960543729105671,1,1,9,4,2406,53113,100000,55523,1,130,1,d83add.fffe.9fc7f3,-1
1783960543779166912,1,1,9,4,2406,58119,100000,60529,1,180,1,d83add.fffe.9fc7f3,-1
1783960543829228153,1,1,9,4,2406,63125,100000,65535,1,230,1,d83add.fffe.9fc7f3,-1
1783960543879289301,1,1,9,4,2406,68131,100000,70541,1,280,1,d83add.fffe.9fc7f3,-1
1783960543929350542,1,1,9,4,2406,73138,100000,75548,1,330,1,d83add.fffe.9fc7f3,-1
